Date,Product,UnitsSold
2024-01-01,Product A,47
2024-01-02,Product A,55
2024-01-03,Product A,42
2024-01-04,Product A,52
2024-01-05,Product A,58
2024-01-06,Product A,43
2024-01-07,Product A,46
2024-01-08,Product A,49
2024-01-09,Product A,52
2024-01-10,Product A,45
2024-01-11,Product A,49
2024-01-12,Product A,43
2024-01-13,Product A,52
2024-01-14,Product A,52
2024-01-15,Product A,46
2024-01-16,Product A,54
2024-01-17,Product A,40
2024-01-18,Product A,45
2024-01-19,Product A,46
2024-01-20,Product A,51
2024-01-21,Product A,64
2024-01-22,Product A,52
2024-01-23,Product A,38
2024-01-24,Product A,33
2024-01-25,Product A,48
2024-01-26,Product A,58
2024-01-27,Product A,45
2024-01-28,Product A,41
2024-01-29,Product A,56
2024-01-30,Product A,54
2024-01-31,Product A,56
2024-02-01,Product A,47
2024-02-02,Product A,59
2024-02-03,Product A,46
2024-02-04,Product A,46
2024-02-05,Product A,55
2024-02-06,Product A,60
2024-02-07,Product A,40
2024-02-08,Product A,56
2024-02-09,Product A,56
2024-02-10,Product A,50
2024-02-11,Product A,46
2024-02-12,Product A,61
2024-02-13,Product A,48
2024-02-14,Product A,44
2024-02-15,Product A,45
2024-02-16,Product A,63
2024-02-17,Product A,53
2024-02-18,Product A,57
2024-02-19,Product A,60
2024-02-20,Product A,46
2024-02-21,Product A,44
2024-02-22,Product A,48
2024-02-23,Product A,40
2024-02-24,Product A,65
2024-02-25,Product A,50
2024-02-26,Product A,69
2024-02-27,Product A,50
2024-02-28,Product A,45
2024-02-29,Product A,52
2024-03-01,Product A,34
2024-03-02,Product A,61
2024-03-03,Product A,41
2024-03-04,Product A,54
2024-03-05,Product A,44
2024-03-06,Product A,47
2024-03-07,Product A,53
2024-03-08,Product A,39
2024-03-09,Product A,46
2024-03-10,Product A,54
2024-03-11,Product A,50
2024-03-12,Product A,53
2024-03-13,Product A,54
2024-03-14,Product A,64
2024-03-15,Product A,47
2024-03-16,Product A,45
2024-03-17,Product A,57
2024-03-18,Product A,51
2024-03-19,Product A,39
2024-03-20,Product A,61
2024-03-21,Product A,47
2024-03-22,Product A,60
2024-03-23,Product A,53
2024-03-24,Product A,52
2024-03-25,Product A,39
2024-03-26,Product A,51
2024-03-27,Product A,53
2024-03-28,Product A,55
2024-03-29,Product A,46
2024-03-30,Product A,53
2024-03-31,Product A,53
2024-04-01,Product A,39
2024-04-02,Product A,45
2024-04-03,Product A,60
2024-04-04,Product A,57
2024-04-05,Product A,52
2024-04-06,Product A,43
2024-04-07,Product A,45
2024-04-08,Product A,53
2024-04-09,Product A,62
2024-04-10,Product A,48
2024-04-11,Product A,45
2024-04-12,Product A,58
2024-04-13,Product A,42
2024-04-14,Product A,64
2024-04-15,Product A,51
2024-04-16,Product A,41
2024-04-17,Product A,60
2024-04-18,Product A,54
2024-04-19,Product A,47
2024-04-20,Product A,57
2024-04-21,Product A,50
2024-04-22,Product A,57
2024-04-23,Product A,54
2024-04-24,Product A,60
2024-04-25,Product A,47
2024-04-26,Product A,52
2024-04-27,Product A,49
2024-04-28,Product A,45
2024-04-29,Product A,29
2024-01-01,Product B,36
2024-01-02,Product B,23
2024-01-03,Product B,35
2024-01-04,Product B,32
2024-01-05,Product B,18
2024-01-06,Product B,31
2024-01-07,Product B,30
2024-01-08,Product B,35
2024-01-09,Product B,29
2024-01-10,Product B,36
2024-01-11,Product B,28
2024-01-12,Product B,23
2024-01-13,Product B,31
2024-01-14,Product B,33
2024-01-15,Product B,31
2024-01-16,Product B,29
2024-01-17,Product B,28
2024-01-18,Product B,17
2024-01-19,Product B,37
2024-01-20,Product B,30
2024-01-21,Product B,30
2024-01-22,Product B,24
2024-01-23,Product B,28
2024-01-24,Product B,32
2024-01-25,Product B,28
2024-01-26,Product B,30
2024-01-27,Product B,33
2024-01-28,Product B,20
2024-01-29,Product B,41
2024-01-30,Product B,28
2024-01-31,Product B,29
2024-02-01,Product B,41
2024-02-02,Product B,24
2024-02-03,Product B,22
2024-02-04,Product B,21
2024-02-05,Product B,20
2024-02-06,Product B,36
2024-02-07,Product B,36
2024-02-08,Product B,22
2024-02-09,Product B,32
2024-02-10,Product B,34
2024-02-11,Product B,26
2024-02-12,Product B,34
2024-02-13,Product B,28
2024-02-14,Product B,27
2024-02-15,Product B,37
2024-02-16,Product B,34
2024-02-17,Product B,22
2024-02-18,Product B,30
2024-02-19,Product B,27
2024-02-20,Product B,28
2024-02-21,Product B,39
2024-02-22,Product B,27
2024-02-23,Product B,42
2024-02-24,Product B,32
2024-02-25,Product B,26
2024-02-26,Product B,33
2024-02-27,Product B,35
2024-02-28,Product B,21
2024-02-29,Product B,19
2024-03-01,Product B,29
2024-03-02,Product B,27
2024-03-03,Product B,23
2024-03-04,Product B,32
2024-03-05,Product B,21
2024-03-06,Product B,33
2024-03-07,Product B,28
2024-03-08,Product B,28
2024-03-09,Product B,35
2024-03-10,Product B,29
2024-03-11,Product B,22
2024-03-12,Product B,19
2024-03-13,Product B,22
2024-03-14,Product B,34
2024-03-15,Product B,44
2024-03-16,Product B,26
2024-03-17,Product B,20
2024-03-18,Product B,32
2024-03-19,Product B,29
2024-03-20,Product B,31
2024-03-21,Product B,17
2024-03-22,Product B,29
2024-03-23,Product B,26
2024-03-24,Product B,29
2024-03-25,Product B,31
2024-03-26,Product B,33
2024-03-27,Product B,27
2024-03-28,Product B,33
2024-03-29,Product B,42
2024-03-30,Product B,32
2024-03-31,Product B,40
2024-04-01,Product B,17
2024-04-02,Product B,28
2024-04-03,Product B,31
2024-04-04,Product B,36
2024-04-05,Product B,29
2024-04-06,Product B,37
2024-04-07,Product B,29
2024-04-08,Product B,43
2024-04-09,Product B,25
2024-04-10,Product B,32
2024-04-11,Product B,22
2024-04-12,Product B,30
2024-04-13,Product B,30
2024-04-14,Product B,31
2024-04-15,Product B,37
2024-04-16,Product B,23
2024-04-17,Product B,34
2024-04-18,Product B,33
2024-04-19,Product B,23
2024-04-20,Product B,27
2024-04-21,Product B,28
2024-04-22,Product B,39
2024-04-23,Product B,30
2024-04-24,Product B,28
2024-04-25,Product B,30
2024-04-26,Product B,30
2024-04-27,Product B,32
2024-04-28,Product B,20
2024-04-29,Product B,23
